,id,name,year,run_time,genre,rating,about,director,actors,votes,gross
0,1,Batman: The Animated Series,1992,23 min,"Animation, Action, Adventure            ",9,Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.,,"Kevin Conroy, Loren Lester, Efrem Zimbalist Jr., Bob Hastings",92924,
1,2,Teenage Mutant Ninja Turtles,1987,23 min,"Animation, Action, Adventure            ",7.9,adventures of a quartet of humanoid warrior turtles and their friends.,,"Cam Clarke, Barry Gordon, Rob Paulsen, Townsend Coleman",32056,
2,3,X-Men,1992,23 min,"Animation, Action, Family            ",8.4,am of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.,,"Cedric Smith, Cal Dodd, Lenore Zann, George Buza",39333,
3,4,Street Sharks,1994,22 min,"Animation, Action, Adventure            ",6.3,"ter, Jab, Streex and Slammu must protect their reputations and change the way they are being viewed in Fission City. They must fight Dr. Piranoid as well as finding their father once and for all...",,"Andrew Rannells, D. Kevin Williams, Jim Hoggatt, Lee Tockar",2486,
4,5,Biker Mice from Mars,1993,30 min,"Animation, Action, Adventure            ",7," three alien motorcycle riding mice are forced to leave their home planet of Mars thanks to the evil mining Plutarkians, they rebel against their enemies on planet Earth and the city of Chicago.",,"Dorian Harewood, Rob Paulsen, Ian Ziering, Leeza Miller McGee",4320,
5,6,The Real Ghost Busters,1986,23 min,"Animation, Action, Comedy            ",7.6,continuing adventures of the staff of the ghost removal service.,,"Maurice LaMarche, Dave Coulier, Frank Welker, Arsenio Hall",9181,
6,7,Beetlejuice,1989,22 min,"Animation, Adventure, Comedy            ",7.3,"ntures of the ghostly con-artist and his 12-year-old pal, Lydia.",,"Stephen Ouimette, Alyson Court, Tabitha St. Germain, Elizabeth Hanna",6899,
7,8,Spawn,1997,30 min,"Animation, Action, Adventure            ",8.1,"r being betrayed and murdered by his employer, a government trained assassin is resurrected as a Hellspawn, then being forced to act as the reluctant leader of Hell's army.",,"Keith David, Richard Dysart, Dominique Jennings, Todd McFarlane",8250,
8,9,Freakazoid!,1995,30 min,"Animation, Comedy, Family            ",7.5,"ington, D.C. has a new defender: Freakazoid. The comedy and insanity never stop when he's around, and he's only one of the weird heroes of the series. It's better than a nice tub of good things.",,"Paul Rugg, David Kaufman, Joe Leahy, Tress MacNeille",7610,
9,10,"God, the Devil and Bob",2000,30 min,"Comedy, Animation            ",7.6,"has made a bet with the Devil: if one human of the Devil's choosing can't prove that humanity is decent, God will scrap all of creation and start over. The Devil chooses Detroit car ...                See full summary »
",,"Alan Cumming, James Garner, French Stewart, Laurie Metcalf",924,
10,11,Skeleton Warriors,1994,30 min,"Animation, Adventure, Fantasy            ",7,"ce Lightstar leads the Legion of Light against Baron Dark - once a man, now an evil skeleton lord - and his army of skeletons. Dark's goal is to capture the Crystal that powers the world and Lightstar must stop him.",,"Jeff Bennett, Nathan Carlson, Philip L. Clarke, Michael Corbett",317,
11,12,He-Man and the Masters of the Universe,1983,30 min,"Animation, Action, Adventure            ",7.5,"most powerful man in the universe, He-Man, goes against the evil forces of Skeletor to save the planet Eternia and to protect the secrets of Castle Grayskull.",,"John Erwin, Alan Oppenheimer, Linda Gary, Lou Scheimer",17560,
12,13,Toxic Crusaders,1991,24 min,"Animation, Action, Comedy            ",6.7,"oup of mutants fight against the pollution-loving alien Dr. Killemoff in the fictional city of Tromaville, led by Toxie, a nerd-turned-superhero.",,"Gregg Berger, Susan Blu, Rodger Bumpass, Paul Eiding",491,
13,14,Defenders of the Earth,1986,30 min,"Animation, Action, Adventure            ",7.1, of the greatest comic strip heroes join forces to battle Ming the Merciless.,,"Loren Lester, Lou Richards, Peter Renaday, Peter Mark Richman",1439,
14,15,Rocko's Modern Life,1993,30 min,"Animation, Comedy            ",7.9,wacky misadventures of an Australian wallaby and his friends as he finishes his transition to American life.,,"Carlos Alazraqui, Tom Kenny, Charlie Adler, Mr. Lawrence",19794,
15,16,"Ed, Edd n Eddy",1999,30 min,"Animation, Comedy, Family            ",7.4,"off-the-wall, day-to-day life of three friends who have exactly the same name.",,"Matt Hill, Sam Vincent, Tony Sampson, Erin Fitzgerald",34973,
16,17,Inspector Gadget,1983,30 min,"Animation, Action, Adventure            ",6.8,"mbling bionic police inspector stumbles about on his cases, while his niece and dog secretly do the real investigative work.",,"Don Adams, Holly Berger, Frank Welker, Luc Durand",19754,
17,18,Spider-Man,1994,23 min,"Animation, Action, Adventure            ",8.4,ung man with spider-like abilities fights crime as a superhero in New York City while trying to have a normal personal life.,,"Christopher Daniel Barnes, Sara Ballantine, Edward Asner, Roscoe Lee Browne",28476,
18,19,Dennis the Menace,1986,30 min,"Animation, Family, Comedy            ",6.3,"-natured, 6 y.o. Dennis is a menace to his parents and especially to his neighbor, Mr. Wilson. He has adventures with his friends and dog, Ruff. Each episode has 3 6-10 min. stories.",,"Brennan Thicke, Jeannie Elias, Marilyn Lightstone, Sharon Noble",5224,
19,20,Gargoyles,1994,30 min,"Animation, Action, Adventure            ",8.1,an of heroic night creatures pledge to protect modern New York City as they did in Scotland one thousand years earlier.,,"Keith David, Salli Richardson-Whitfield, Jeff Bennett, Frank Welker",15306,
20,21,"Dr. Katz, Professional Therapist",1995,30 min,"Animation, Comedy            ",7.5,"erapist struggles with problems of his patients, while dealing with the ones in his personal life.",,"Jonathan Katz, H. Jon Benjamin, Laura Silverman, Will Le Bow",5382,
21,22,The Adventures of Tintin,1991,30 min,"Animation, Action, Adventure            ",8.3,"adventures of the young reporter, his faithful dog and friends as they travel around the world on adventures.",,"Colin O'Meara, Thierry Wermuth, Christian Pelissier, Henri Labussière",17318,
22,23,The Super Mario Bros. Super Show!,1989,30 min,"Animation, Action, Adventure            ",6.2,"Mario Brothers, Princess Toadstool, and Toad go on various adventures while battling the evil King Koopa.",,"Lou Albano, Harvey Atkin, John Stocker, Danny Wells",3362,
