,id,name,year,run_time,genre,rating,about,director,actors,votes,gross
0,1,The Patriot,2000,165 min,"Action, Drama, History            ",7.2,eful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.,Roland Emmerich ,"Mel Gibson, Heath Ledger, Joely Richardson, Jason Isaacs",262097,$113.33M
1,2,Bitva za Sevastopol,2015,110 min,"Biography, Drama, Romance            ",7.1,"ory of Lyudmila Pavlichenko, the most successful female sniper in history.",Sergey Mokritskiy ,"Yuliya Peresild, Evgeniy Tsyganov, Oleg Vasilkov, Nikita Tarasov",11378,
2,3,Unbroken,I) (,137 min,"Action, Biography, Drama            ",7.2,"r a near-fatal plane crash in WWII, Olympian Louis Zamperini spends a harrowing 47 days in a raft with two fellow crewmen before he's caught by the Japanese navy and sent to a prisoner-of-war camp.",Angelina Jolie ,"Jack O'Connell, Miyavi, Domhnall Gleeson, Garrett Hedlund",156956,$115.64M
3,4,Hacksaw Ridge,2016,139 min,"Biography, Drama, History            ",8.1,"d War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.",Mel Gibson ,"Andrew Garfield, Sam Worthington, Luke Bracey, Teresa Palmer",465040,$67.21M
4,5,Enemy at the Gates,2001,131 min,"Drama, History, War            ",7.6,ssian and a German sniper play a game of cat-and-mouse during the Battle of Stalingrad.,Jean-Jacques Annaud ,"Jude Law, Ed Harris, Joseph Fiennes, Rachel Weisz",250938,$51.40M
5,6,Brothers,I) (,105 min,"Action, Drama, Thriller            ",7.1,"e on tour in Afghanistan, Sam's copter is shot down and he is presumed dead. Back home, it is his screw-up brother who looks after the family. Sam does return, but with a lot of excess baggage.",Jim Sheridan ,"Jake Gyllenhaal, Natalie Portman, Tobey Maguire, Sam Shepard",116400,$28.50M
6,7,Jin ling shi san chai,2011,146 min,"Drama, History, Romance            ",7.6,"merican finds refuge during the 1937 Japanese invasion of Nanking in a church with a group of women. Posing as a priest, he attempts to lead the women to safety.",Yimou Zhang ,"Christian Bale, Ni Ni, Xinyi Zhang, Tianyuan Huang",51159,$0.01M
7,8,The Railway Man,2013,116 min,"Biography, Drama, Romance            ",7.1,"rmer British Army officer, who was tortured as a prisoner of war at a Japanese labor camp during World War II, discovers that the man responsible for much of his treatment is still alive and sets out to confront him.",Jonathan Teplitzky ,"Colin Firth, Nicole Kidman, Stellan Skarsgård, Jeremy Irvine",38688,$4.44M
8,9,Defiance,I) (,137 min,"Action, Drama, History            ",7.2,"sh brothers in Nazi-occupied Eastern Europe escape into the Belarussian forests, where they join Russian resistance fighters, and endeavor to build a village, in order to protect themselves and about one thousand Jewish non-combatants.",Edward Zwick ,"Daniel Craig, Liev Schreiber, Jamie Bell, Alexa Davalos",142173,$28.64M
9,10,Incendies,2010,131 min,"Drama, Mystery, War            ",8.3,s journey to the Middle East to discover their family history and fulfill their mother's last wishes.,Denis Villeneuve ,"Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette, Mustafa Kamel",160882,$6.86M
10,11,Inglourious Basterds,2009,153 min,"Adventure, Drama, War            ",8.3,"azi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",Quentin Tarantino ,"Brad Pitt, Diane Kruger, Eli Roth, Mélanie Laurent",1327883,$120.54M
11,12,Valkyrie,2008,121 min,"Drama, History, Thriller            ",7.1,"amatization of the July 20, 1944 assassination and political coup plot by desperate renegade German Army officers against Adolf Hitler during World War II.",Bryan Singer ,"Tom Cruise, Bill Nighy, Carice van Houten, Kenneth Branagh",234398,$83.08M
12,13,Paan Singh Tomar,2012,135 min,"Action, Biography, Crime            ",8.2,"story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.",Tigmanshu Dhulia ,"Irrfan Khan, Mahie Gill, Rajesh Abhay, Hemendra Dandotiya",34841,$0.04M
13,14,The Children of Huang Shi,2008,125 min,"Drama, War            ",7,"t young British journalist, George Hogg, who with the assistance of a courageous Australian nurse, saves a group of orphaned children during the Japanese occupation of China in 1937.",Roger Spottiswoode ,"Jonathan Rhys Meyers, Radha Mitchell, Chow Yun-Fat, Michelle Yeoh",9492,$1.03M
