,id,name,year,run_time,genre,rating,about,director,actors,votes,gross
0,1, Climax!,1954,52 min,Drama            ,5.7,ican spy James Bond must outsmart card wiz and crime boss Le Chiffre while monitoring his actions.,William H. Brown Jr. ,"William Lundigan, Barry Nelson, Peter Lorre, Linda Christian",1184,
1,2,Dr. No,1962,110 min,"Action, Adventure, Thriller            ",7.2,sourceful British government agent seeks answers in a case involving the disappearance of a colleague and the disruption of the American space program.,Terence Young ,"Sean Connery, Ursula Andress, Bernard Lee, Joseph Wiseman",155242,$16.07M
2,3,From Russia with Love,1963,115 min,"Action, Adventure, Thriller            ",7.4,s Bond willingly falls into an assassination plot involving a naive Russian beauty in order to retrieve a Soviet encryption device that was stolen by S.P.E.C.T.R.E.,Terence Young ,"Sean Connery, Robert Shaw, Lotte Lenya, Daniela Bianchi",124843,$24.80M
3,4,Goldfinger,1964,110 min,"Action, Adventure, Thriller            ",7.7,"e investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.",Guy Hamilton ,"Sean Connery, Gert Fröbe, Honor Blackman, Shirley Eaton",179231,$51.08M
4,5,Thunderball,1965,130 min,"Action, Adventure, Thriller            ",7,s Bond heads to the Bahamas to recover two nuclear warheads stolen by S.P.E.C.T.R.E. Agent Emilio Largo in an international extortion scheme.,Terence Young ,"Sean Connery, Claudine Auger, Adolfo Celi, Luciana Paluzzi",110763,$63.60M
5,6,You Only Live Twice,1967,117 min,"Action, Adventure, Thriller            ",6.9,"et Agent James Bond and the Japanese Secret Service must find and stop the true culprit of a series of space hijackings, before war is provoked between Russia and the United States.",Lewis Gilbert ,"Sean Connery, Akiko Wakabayashi, Mie Hama, Tetsurô Tanba",102469,$43.08M
6,7,Casino Royale,1967,131 min,Comedy            ,5.1,"n early spy spoof, aging Sir James Bond comes out of retirement to take on SMERSH.","Val Guest, Ken Hughes, John Huston, Joseph McGrath, Robert Parrish, Richard Talmadge ","David Niven, Peter Sellers, Ursula Andress, Orson Welles",28592,
7,8,On Her Majesty's Secret Service,1969,142 min,"Action, Adventure, Thriller            ",6.7,s Bond woos a mob boss' daughter and goes undercover to uncover the true reason for Ernst Stavro Blofeld's allergy research in the Swiss Alps involving beautiful women from around the world.,Peter R. Hunt ,"George Lazenby, Diana Rigg, Telly Savalas, Gabriele Ferzetti",84742,$22.80M
8,9,Diamonds Are Forever,1971,120 min,"Action, Adventure, Thriller            ",6.6,"amond smuggling investigation leads James Bond to Las Vegas, where he uncovers an evil plot involving a rich business tycoon.",Guy Hamilton ,"Sean Connery, Jill St. John, Charles Gray, Lana Wood",99987,$43.82M
9,10,Live and Let Die,1973,121 min,"Action, Adventure, Thriller            ",6.8,s Bond is sent to stop a diabolically brilliant heroin magnate armed with a complex organisation and a reliable psychic tarot card reader.,Guy Hamilton ,"Roger Moore, Yaphet Kotto, Jane Seymour, Clifton James",100882,$35.38M
10,11,The Man with the Golden Gun,1974,125 min,"Action, Adventure, Thriller            ",6.7,"s Bond is targeted by the world's most expensive assassin, while he attempts to recover sensitive solar cell technology that is being sold to the highest bidder.",Guy Hamilton ,"Roger Moore, Christopher Lee, Britt Ekland, Maud Adams",99367,$20.97M
11,12,The Spy Who Loved Me,1977,125 min,"Action, Adventure, Thriller            ",7.1,"s Bond investigates the hijacking of British and Russian submarines carrying nuclear warheads, with the help of a K.G.B. agent whose lover he killed.",Lewis Gilbert ,"Roger Moore, Barbara Bach, Curd Jürgens, Richard Kiel",102232,$46.80M
12,13,Moonraker,1979,126 min,"Action, Adventure, Sci-Fi            ",6.3,"s Bond investigates the mid-air theft of a space shuttle, and discovers a plot to commit global genocide.",Lewis Gilbert ,"Roger Moore, Lois Chiles, Michael Lonsdale, Richard Kiel",94713,$70.31M
13,14,For Your Eyes Only,1981,127 min,"Action, Adventure, Thriller            ",6.7,"s Bond is assigned to find a missing British vessel, equipped with a weapons encryption device and prevent it from falling into enemy hands.",John Glen ,"Roger Moore, Carole Bouquet, Topol, Lynn-Holly Johnson",95548,$62.30M
14,15,Octopussy,1983,131 min,"Action, Adventure, Thriller            ",6.5,"ke Fabergé egg, and a fellow Agent's death, lead James Bond to uncover an international jewel-smuggling operation, headed by the mysterious Octopussy, being used to disguise a nuclear attack on N.A.T.O. forces.",John Glen ,"Roger Moore, Maud Adams, Louis Jourdan, Kristina Wayborn",100086,$67.90M
15,16,Never Say Never Again,1983,134 min,"Action, Adventure, Thriller            ",6.2,"P.E.C.T.R.E. Agent has stolen two American nuclear warheads, and James Bond must find their targets before they are detonated.",Irvin Kershner ,"Sean Connery, Kim Basinger, Klaus Maria Brandauer, Max von Sydow",64306,$55.50M
16,17,A View to a Kill,1985,131 min,"Action, Adventure, Thriller            ",6.3,recovery of a microchip off the body of a fellow agent leads James Bond to a mad industrialist who plans to create a worldwide microchip monopoly by destroying California's Silicon Valley.,John Glen ,"Roger Moore, Christopher Walken, Tanya Roberts, Grace Jones",92100,$50.33M
17,18,The Living Daylights,1987,130 min,"Action, Adventure, Thriller            ",6.7,s Bond is sent to investigate a KGB policy to kill all enemy spies and uncovers an arms deal that potentially has major global ramifications.,John Glen ,"Timothy Dalton, Maryam d'Abo, Jeroen Krabbé, Joe Don Baker",92526,$51.19M
18,19,Licence to Kill,1989,133 min,"Action, Adventure, Thriller            ",6.6,"r capturing a drug lord, Felix Leiter is left for dead and his wife is murdered. James Bond goes rogue and seeks vengeance on those responsible, as he infiltrates an organisation posing as a hitman.",John Glen ,"Timothy Dalton, Robert Davi, Carey Lowell, Talisa Soto",98313,$34.67M
19,20,GoldenEye,1995,130 min,"Action, Adventure, Thriller            ",7.2,"s after a friend and fellow 00 agent is killed on a joint mission, a secret space based weapons program known as ""GoldenEye"" is stolen. James Bond sets out to stop a Russian crime syndicate from using the weapon.",Martin Campbell ,"Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen",244789,$106.60M
20,21,Tomorrow Never Dies,1997,119 min,"Action, Adventure, Thriller            ",6.5,s Bond sets out to stop a media mogul's plan to induce war between China and the UK in order to obtain exclusive global media coverage.,Roger Spottiswoode ,"Pierce Brosnan, Jonathan Pryce, Michelle Yeoh, Teri Hatcher",186029,$125.33M
21,22,The World Is Not Enough,1999,128 min,"Action, Adventure, Crime            ",6.4,"s Bond uncovers a nuclear plot while protecting an oil heiress from her former kidnapper, an international terrorist who can't feel pain.",Michael Apted ,"Pierce Brosnan, Sophie Marceau, Robert Carlyle, Denise Richards",192814,$126.94M
