,id,name,year,run_time,genre,rating,about,director,actors,votes,gross
0,1,In Time,2011,109 min,"Action, Sci-Fi, Thriller            ",6.7," future where people stop aging at 25, but are engineered to live only one more year, having the means to buy your way out of the situation is a shot at immortal youth. Here, Will Salas finds himself accused of murder and on the run with a hostage - a connection that becomes an important part of the way against the system.",Andrew Niccol ,"Justin Timberlake, Amanda Seyfried, Cillian Murphy, Olivia Wilde",382655,$37.52M
1,2,Taare Zameen Par,2007,165 min,"Drama, Family            ",8.4,"ight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.","Aamir Khan, Amole Gupte ","Darsheel Safary, Aamir Khan, Tisca Chopra, Vipin Sharma",179742,$1.22M
2,3,A Brief History of Time,1991,80 min,"Documentary, Biography            ",7.3,"lm about the life and work of the cosmologist, Stephen Hawking, who despite his near total paralysis, was one of the great minds of all time.",Errol Morris ,"Stephen Hawking, Isobel Hawking, Janet Humphrey, Mary Hawking",5429,$2.28M
3,4,The Matrix,1999,136 min,"Action, Sci-Fi            ",8.7," a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","Lana Wachowski, Lilly Wachowski ","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving",1745038,$171.48M
4,5,The Matrix Reloaded,2003,138 min,"Action, Sci-Fi            ",7.2,"dom fighters Neo, Trinity and Morpheus continue to lead the revolt against the Machine Army, unleashing their arsenal of extraordinary skills and weaponry against the systematic forces of repression and exploitation.","Lana Wachowski, Lilly Wachowski ","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving",534247,$281.49M
5,6,The Revenant,2015,156 min,"Action, Adventure, Drama            ",8,ontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,Alejandro G. Iñárritu ,"Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson",738001,$183.64M
6,7,Hacksaw Ridge,2016,139 min,"Biography, Drama, History            ",8.1,"d War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.",Mel Gibson ,"Andrew Garfield, Sam Worthington, Luke Bracey, Teresa Palmer",464312,$67.21M
7,8,Dunkirk,2017,106 min,"Action, Drama, History            ",7.8,"ed soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",Christopher Nolan ,"Fionn Whitehead, Barry Keoghan, Mark Rylance, Tom Hardy",591672,$188.37M
8,9,Aus dem Nichts,2017,106 min,"Crime, Drama, Thriller            ",7.1,"a's life collapses after the death of her husband and son in a bomb attack. After a time of mourning and injustice, Katja seeks revenge.",Fatih Akin ,"Numan Acar, Adam Bousdoukos, Diane Kruger, Denis Moschitto",30717,$0.32M
9,10,No Country for Old Men,2007,122 min,"Crime, Drama, Thriller            ",8.1,ence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,"Ethan Coen, Joel Coen ","Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson",896350,$74.28M
10,11,Doctor Strange,2016,115 min,"Action, Adventure, Fantasy            ",7.5,"e on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.",Scott Derrickson ,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong",638977,$232.64M
11,12,The Greatest Showman,2017,105 min,"Biography, Drama, Musical            ",7.6,brates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.,Michael Gracey ,"Hugh Jackman, Michelle Williams, Zac Efron, Zendaya",254148,$174.34M
12,13,Interstellar,2014,169 min,"Adventure, Drama, Sci-Fi            ",8.6,am of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,Christopher Nolan ,"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy",1604188,$188.02M
13,14,Rogue One,2016,133 min,"Action, Adventure, Sci-Fi            ",7.8," time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction.",Gareth Edwards ,"Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen",578141,$532.18M
