,id,name,year,run_time,genre,rating,about,director,actors,votes,gross
0,1,Planet Earth,2006,538 min,Documentary            ,9.4," Award-winning, 11 episodes, five years in the making, the most expensive nature documentary series ever commissioned by the BBC, and the first to be filmed in high definition.",,"David Attenborough, Sigourney Weaver, Nikolay Drozdov, Thomas Anguti Johnston",173381,
1,2,Cosmos: A Spacetime Odyssey,2014,557 min,Documentary            ,9.3,xploration of our discovery of the laws of nature and coordinates in space and time.,,"Neil deGrasse Tyson, Stoney Emshwiller, Piotr Michael, André Sogliuzzo",115174,
2,3,Cosmos,1980,780 min,Documentary            ,9.3,onomer Carl Sagan leads us on an engaging guided tour of the various elements and cosmological theories of the universe.,,"Carl Sagan, Jaromír Hanzlík, Jonathan Fahn, Alan Belod",38498,
3,4,The World at War,1973,52 min,"Documentary, History, War            ",9.2,"oundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II.",,"Laurence Olivier, Anthony Eden, Averell Harriman, Albert Speer",23662,
4,5,Life,2009,473 min,Documentary            ,9.1,"d Attenborough 's legendary BBC crew explains and shows wildlife all over planet earth in 10 episodes. The first is an overview of the challenges facing life, the others are dedicated ...                See full summary »
",,"Oprah Winfrey, David Attenborough, Doug Allan, Barrie Britton",39198,
5,6,Human Planet,2011,50 min,Documentary            ,9," all life forms, humanity partially adapts to types of natural environment, yet also tends to change them. Each episode examines how life differs for men and nature in some type of ...                See full summary »
",,"John Hurt, Roger Munns",24856,
6,7,The Blue Planet,2001,389 min,Documentary            ,9,"oth series, five years in the making, taking a look at the rich tapestry of life in the world's oceans.",,"David Attenborough, Pierce Brosnan",36786,
7,8,Frozen Planet,2011,333 min,Documentary            ,9,ses on life and the environment in both the Arctic and Antarctic.,,"David Attenborough, Alec Baldwin, Chadden Hunter, Ted Giffords",28385,
8,9,The Jinx: The Life and Deaths of Robert Durst,2015,279 min,"Documentary, Crime, Mystery            ",8.6,"maker Andrew Jarecki examines the complicated life of reclusive real estate icon Robert Durst, the key suspect in a series of unsolved crimes.",,"Robert Durst, Andrew Jarecki, Gary Napoli, Debra Kay Anderson",41736,
9,10,Long Way Round,2004,315 min,"Documentary, Adventure            ",8.6," documentary series follows actors Ewan McGregor and Charley Boorman on a motorcycle trip around the world. The two friends will travel through such places as Siberia, Kazakhstan, ...                See full summary »
",,"Ewan McGregor, Charley Boorman, David Alexanian, Russ Malkin",13211,
10,11,Through the Wormhole,2010,60 min,Documentary            ,8.6,"ed by Morgan Freeman, Through the Wormhole will explore the deepest mysteries of existence - the questions that have puzzled mankind for eternity. What are we made of? What was there ...                See full summary »
",,"Morgan Freeman, Sean Carroll, Michio Kaku, Carlos Frenk",17297,
11,12,Top Gear,1978,30 min,Documentary            ,8.3,"tin, Tiff, Vicki and others look at all things car-related.",,"Tiff Needell, Jeremy Clarkson, Quentin Willson, Chris Goffey",24746,
12,13,MythBusters,2003,44 min,"Documentary, Mystery, Reality-TV            ",8.3,ekly documentary in which two Hollywood special effects experts attempt to debunk urban legends by directly testing them.,,"Robert Lee, Jamie Hyneman, Adam Savage, Kari Byron",51170,
