,id,name,year,run_time,genre,rating,about,director,actors,votes,gross
0,1,The Godfather,1972,175 min,"Crime, Drama            ",9.2,rganized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.,Francis Ford Coppola ,"Marlon Brando, Al Pacino, James Caan, Diane Keaton",1698563,$134.97M
1,2,The Godfather: Part II,1974,202 min,"Crime, Drama            ",9,"early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Francis Ford Coppola ,"Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton",1179720,$57.30M
2,3,"Il buono, il brutto, il cattivo",1966,161 min,Western            ,8.8,unty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Sergio Leone ,"Clint Eastwood, Eli Wallach, Lee Van Cleef, Aldo Giuffrè",715562,$6.10M
3,4,12 Angry Men,1957,96 min,"Crime, Drama            ",9,ry holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,Sidney Lumet ,"Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler",726593,$4.36M
4,5,Shichinin no samurai,1954,207 min,"Action, Adventure, Drama            ",8.6,or village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,Akira Kurosawa ,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki",327938,$0.27M
5,6,Once Upon a Time in the West,1968,165 min,Western            ,8.5,sterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Sergio Leone ,"Henry Fonda, Charles Bronson, Claudia Cardinale, Jason Robards",313495,$5.32M
6,7,It's a Wonderful Life,1946,130 min,"Drama, Family, Fantasy            ",8.6,ngel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,Frank Capra ,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell",421206,
7,8,City Lights,1931,87 min,"Comedy, Drama, Romance            ",8.5," the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",Charles Chaplin ,"Charles Chaplin, Virginia Cherrill, Florence Lee, Harry Myers",175351,$0.02M
8,9,Casablanca,1942,102 min,"Drama, Romance, War            ",8.5,nical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,Michael Curtiz ,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains",541350,$1.02M
9,10,Rear Window,1954,112 min,"Mystery, Thriller            ",8.5,eelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,Alfred Hitchcock ,"James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter",463564,$36.76M
