,id,name,year,run_time,genre,rating,about,director,actors,votes,gross
0,1,Hagane no renkinjutsushi,2009,24 min,"Animation, Action, Adventure            ",9.1,brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,,"Kent Williams, Iemasa Kayumi, Vic Mignogna, Romi Park",137269,
1,2,One Punch Man: Wanpanman,2015,24 min,"Animation, Action, Comedy            ",8.8,"story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch.",,"Makoto Furukawa, Kaito Ishikawa, Max Mittelman, Zach Aguilar",130820,
2,3,Death Note: Desu nôto,2006,24 min,"Animation, Crime, Drama            ",9,ntelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,,"Mamoru Miyano, Brad Swaile, Vincent Tong, Ryô Naitô",266982,
3,4,Kaubôi bibappu,1998,24 min,"Animation, Action, Adventure            ",8.9,futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.,,"Kôichi Yamadera, Unshô Ishizuka, Megumi Hayashibara, Steve Blum",96766,
4,5,Hunter x Hunter,2011,24 min,"Animation, Action, Adventure            ",9,"Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks for his father who left him when he was younger.",,"Issei Futamata, Megumi Han, Cristina Valenzuela, Mariya Ise",70796,
5,6,Steins;Gate,2011,24 min,"Animation, Comedy, Drama            ",8.8,"r discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans.",,"Mamoru Miyano, Asami Imai, Kana Hanazawa, Ashly Burch",50873,
6,7,Shingeki no kyojin,2013,24 min,"Animation, Action, Adventure            ",9,"r his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",,"Yûki Kaji, Marina Inoue, Josh Grelle, Yui Ishikawa",248172,
7,8,Dragon Ball Z,1996,24 min,"Animation, Action, Adventure            ",8.7,"r learning that he is from another planet, a warrior named Goku and his friends are prompted to defend it from an onslaught of extraterrestrial enemies.",,"Doc Harris, Christopher Sabat, Scott McNeil, Sean Schemmel",119330,
8,9,Dragon Ball Z: Doragon bôru zetto,1989,24 min,"Animation, Action, Adventure            ",8.7,adventures of Earth's martial arts defender Son Goku continue with a new family and the revelation of his alien origin. Now Goku and his allies must defend the planet from an onslaught of new extraterrestrial enemies.,,"Jôji Yanami, Kyle Hebert, Masako Nozawa, Sean Schemmel",73101,
9,10,One Piece: Wan pîsu,1999,24 min,"Animation, Action, Adventure            ",8.8,"ows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece"".",,"Mayumi Tanaka, Tony Beck, Laurent Vernin, Akemi Okamura",83963,
